Date,Open,High,Low,Close,Adj Close,Volume
2021-07-13,5.260000,5.285000,5.118000,5.148000,4.512403,12500114
2021-07-14,5.142000,5.246000,5.127000,5.170000,4.531688,10057768
2021-07-15,5.156000,5.210000,5.108000,5.196000,4.554478,7792625
2021-07-16,5.215000,5.245000,5.043000,5.090000,4.461565,13601713
2021-07-19,5.011000,5.053000,4.853000,4.914000,4.307294,16695473
2021-07-20,4.963500,5.039000,4.909000,5.026000,4.405467,12425023
2021-07-21,5.034000,5.226000,5.013000,5.224000,4.579021,15857135
2021-07-22,5.240000,5.333000,5.223000,5.251000,4.602687,13182014
2021-07-23,5.230000,5.390000,5.230000,5.366000,4.703488,13841780
2021-07-26,5.306000,5.490000,5.236000,5.480000,4.803413,18132044
2021-07-27,5.428000,5.479000,5.392000,5.443000,4.770981,11598783
2021-07-28,5.464000,5.491000,5.358000,5.372000,4.708748,21229257
2021-07-29,5.389000,5.492000,5.388000,5.412000,4.743809,13771739
2021-07-30,5.353000,5.455000,5.301000,5.411000,4.742932,17910869
2021-08-02,5.420000,5.563000,5.403000,5.450000,4.777117,29049719
2021-08-03,5.480000,5.622000,5.456000,5.570000,4.882302,18605118
2021-08-04,5.590000,5.670000,5.569000,5.664000,4.964696,14046076
2021-08-05,5.582000,5.686000,5.581000,5.653000,4.955054,14126734
2021-08-06,5.650000,5.783000,5.632000,5.762000,5.050597,13849220
2021-08-09,5.747000,5.794000,5.713000,5.760000,5.048843,10518060
2021-08-10,5.735000,5.831000,5.722000,5.826000,5.106695,11816635
2021-08-11,5.840000,5.910000,5.807000,5.905000,5.175941,11163564
2021-08-12,5.892000,5.932000,5.854000,5.889000,5.161916,10567279
2021-08-13,5.900000,5.913000,5.845000,5.861000,5.137373,19239212
2021-08-16,5.790000,5.904000,5.750000,5.816000,5.097929,8086118
2021-08-17,5.753000,5.775000,5.672000,5.673000,4.972585,18238708
2021-08-18,5.670000,5.806000,5.656000,5.795000,5.079522,19929259
2021-08-19,5.650000,5.686000,5.540000,5.589000,4.898956,12714054
2021-08-20,5.585000,5.629000,5.508000,5.554000,4.868277,15899169
2021-08-23,5.602000,5.626000,5.555000,5.583000,4.893697,10257628
2021-08-24,5.600000,5.614000,5.454000,5.500000,4.820944,13382475
2021-08-25,5.514000,5.723000,5.508000,5.707000,5.002386,16087675
2021-08-26,5.684000,5.709000,5.603000,5.613000,4.919993,10038040
2021-08-27,5.600000,5.612000,5.508000,5.580000,4.891067,7953758
2021-08-30,5.589000,5.620000,5.527000,5.535000,4.851623,5222088
2021-08-31,5.535000,5.575000,5.471000,5.547000,4.862141,18690447
2021-09-01,5.624000,5.688000,5.602000,5.637000,4.941029,13229785
2021-09-02,5.650000,5.673000,5.560000,5.609000,4.916486,15794366
2021-09-03,5.640000,5.666000,5.565000,5.568000,4.880549,15224363
2021-09-06,5.589000,5.636000,5.556000,5.564000,4.877043,4133474
2021-09-07,5.564000,5.628000,5.556000,5.593000,4.902462,9855859
2021-09-08,5.560000,5.602000,5.469000,5.520000,4.838475,19836678
